Number	Voltage	Counts	Time	Date/Time
2	750	4514	200	03/12/24 02:44:14 PM	
3	750	4377	200	03/12/24 02:47:36 PM	
4	750	4448	200	03/12/24 02:50:57 PM	
5	750	3918	200	03/12/24 02:55:26 PM	
6	750	3957	200	03/12/24 02:58:48 PM	
7	750	3921	200	03/12/24 03:02:09 PM	
8	750	3198	200	03/12/24 03:05:56 PM	
9	750	3173	200	03/12/24 03:09:17 PM	
10	750	3265	200	03/12/24 03:12:39 PM	
11	750	2510	200	03/12/24 03:16:22 PM	
12	750	2615	200	03/12/24 03:19:44 PM	
13	750	2593	200	03/12/24 03:23:05 PM	
14	750	1735	200	03/12/24 03:27:30 PM	
15	750	1774	200	03/12/24 03:30:51 PM	
16	750	1738	200	03/12/24 03:34:13 PM	
17	750	1073	200	03/12/24 03:38:47 PM	
18	750	1094	200	03/12/24 03:42:09 PM	
19	750	1045	200	03/12/24 03:45:30 PM	
20	750	492	200	03/12/24 03:49:24 PM	
21	750	472	200	03/12/24 03:52:45 PM	
22	750	534	200	03/12/24 03:56:06 PM	
