Number	Voltage	Counts	Time	Date/Time
1	750	963	100	03/05/24 10:11:18 AM	
2	750	964	100	03/05/24 10:12:58 AM	
3	750	994	100	03/05/24 10:14:39 AM	
4	750	1009	100	03/05/24 10:16:43 AM	
5	750	959	100	03/05/24 10:18:24 AM	
6	750	1028	100	03/05/24 10:20:05 AM	
7	750	1906	100	03/05/24 10:22:26 AM	
8	750	1972	100	03/05/24 10:24:07 AM	
9	750	2032	100	03/05/24 10:25:48 AM	
10	750	2016	100	03/05/24 10:27:29 AM	
11	750	1969	100	03/05/24 10:29:10 AM	
12	750	1955	100	03/05/24 10:30:50 AM	
13	750	1048	100	03/05/24 10:33:28 AM	
14	750	1072	100	03/05/24 10:35:09 AM	
15	750	1024	100	03/05/24 10:36:49 AM	
16	750	1058	100	03/05/24 10:38:30 AM	
17	750	1037	100	03/05/24 10:40:11 AM	
18	750	1033	100	03/05/24 10:41:52 AM	
