Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	750	171	5	02/27/24 12:35:16 PM	
2	750	229	5	02/27/24 12:35:21 PM	
3	750	186	5	02/27/24 12:35:26 PM	
4	750	175	5	02/27/24 12:35:31 PM	
5	750	198	5	02/27/24 12:35:36 PM	
6	750	185	5	02/27/24 12:35:42 PM	
7	750	199	5	02/27/24 12:35:47 PM	
8	750	187	5	02/27/24 12:35:52 PM	
9	750	201	5	02/27/24 12:35:57 PM	
10	750	183	5	02/27/24 12:36:02 PM	
11	750	197	5	02/27/24 12:36:07 PM	
12	750	204	5	02/27/24 12:36:12 PM	
13	750	210	5	02/27/24 12:36:18 PM	
14	750	193	5	02/27/24 12:36:23 PM	
15	750	206	5	02/27/24 12:36:28 PM	
16	750	182	5	02/27/24 12:36:33 PM	
17	750	188	5	02/27/24 12:36:38 PM	
18	750	203	5	02/27/24 12:36:43 PM	
19	750	202	5	02/27/24 12:36:49 PM	
20	750	195	5	02/27/24 12:36:54 PM	
21	750	207	5	02/27/24 12:36:59 PM	
22	750	203	5	02/27/24 12:37:04 PM	
23	750	205	5	02/27/24 12:37:09 PM	
24	750	200	5	02/27/24 12:37:14 PM	
25	750	156	5	02/27/24 12:37:20 PM	
26	750	206	5	02/27/24 12:37:25 PM	
27	750	201	5	02/27/24 12:37:30 PM	
28	750	194	5	02/27/24 12:37:35 PM	
29	750	186	5	02/27/24 12:37:40 PM	
30	750	177	5	02/27/24 12:37:45 PM	
31	750	197	5	02/27/24 12:37:51 PM	
32	750	186	5	02/27/24 12:37:56 PM	
33	750	180	5	02/27/24 12:38:01 PM	
34	750	211	5	02/27/24 12:38:06 PM	
35	750	202	5	02/27/24 12:38:11 PM	
36	750	204	5	02/27/24 12:38:16 PM	
37	750	196	5	02/27/24 12:38:22 PM	
38	750	225	5	02/27/24 12:38:27 PM	
39	750	226	5	02/27/24 12:38:32 PM	
40	750	208	5	02/27/24 12:38:37 PM	
41	750	210	5	02/27/24 12:38:42 PM	
42	750	185	5	02/27/24 12:38:47 PM	
43	750	187	5	02/27/24 12:38:52 PM	
44	750	177	5	02/27/24 12:38:58 PM	
45	750	194	5	02/27/24 12:39:03 PM	
46	750	189	5	02/27/24 12:39:08 PM	
47	750	205	5	02/27/24 12:39:13 PM	
48	750	177	5	02/27/24 12:39:18 PM	
