Description	
Number of Runs	0
Preset Time	200
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	750	109	200	03/05/24 12:29:02 PM	
2	750	122	200	03/05/24 12:33:39 PM	
3	750	116	200	03/05/24 12:38:54 PM	
4	750	143	200	03/05/24 12:42:28 PM	
5	750	157	200	03/05/24 12:49:46 PM	
6	750	165	200	03/05/24 12:54:19 PM	
7	750	202	200	03/05/24 02:08:20 PM	
8	750	233	200	03/05/24 02:11:55 PM	
9	750	289	200	03/05/24 02:15:54 PM	
10	750	408	200	03/05/24 02:19:33 PM	
11	750	629	200	03/05/24 02:23:24 PM	
