Description	
Number of Runs	0
Preset Time	300
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	750	3020	300	03/05/24 11:28:24 AM	
2	750	3648	300	03/05/24 11:33:43 AM	
3	750	4226	300	03/05/24 11:39:04 AM	
4	750	5018	300	03/05/24 11:44:58 AM	
5	750	6303	300	03/05/24 11:50:25 AM	
6	750	8285	300	03/05/24 11:58:07 AM	
7	750	11657	300	03/05/24 12:03:44 PM	
8	750	17187	300	03/05/24 12:10:02 PM	
9	750	27775	300	03/05/24 12:15:20 PM	
10	750	49084	300	03/05/24 12:20:33 PM	
