Description	
Number of Runs	3
Preset Time	100
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	750	117	100	03/19/24 10:24:25 AM	
2	750	105	100	03/19/24 10:26:05 AM	
3	750	133	100	03/19/24 10:27:46 AM	
4	750	121	100	03/19/24 10:30:45 AM	
5	750	139	100	03/19/24 10:32:26 AM	
6	750	126	100	03/19/24 10:34:07 AM	
7	750	170	100	03/19/24 10:38:01 AM	
8	750	160	100	03/19/24 10:39:42 AM	
9	750	186	100	03/19/24 10:41:23 AM	
10	750	180	100	03/19/24 10:43:22 AM	
11	750	185	100	03/19/24 10:45:03 AM	
12	750	186	100	03/19/24 10:46:44 AM	
