Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	750	7	5	02/27/24 11:22:53 AM	
2	750	3	5	02/27/24 11:22:58 AM	
3	750	3	5	02/27/24 11:23:03 AM	
4	750	4	5	02/27/24 11:23:08 AM	
5	750	7	5	02/27/24 11:23:13 AM	
6	750	2	5	02/27/24 11:23:18 AM	
7	750	1	5	02/27/24 11:23:24 AM	
8	750	3	5	02/27/24 11:23:29 AM	
9	750	3	5	02/27/24 11:23:34 AM	
10	750	6	5	02/27/24 11:23:39 AM	
11	750	3	5	02/27/24 11:23:44 AM	
12	750	1	5	02/27/24 11:23:49 AM	
13	750	5	5	02/27/24 11:23:54 AM	
14	750	3	5	02/27/24 11:24:00 AM	
15	750	3	5	02/27/24 11:24:05 AM	
16	750	0	5	02/27/24 11:24:10 AM	
17	750	3	5	02/27/24 11:24:15 AM	
18	750	4	5	02/27/24 11:24:20 AM	
19	750	1	5	02/27/24 11:24:26 AM	
20	750	3	5	02/27/24 11:24:31 AM	
21	750	2	5	02/27/24 11:24:36 AM	
22	750	0	5	02/27/24 11:24:41 AM	
23	750	1	5	02/27/24 11:24:46 AM	
24	750	2	5	02/27/24 11:24:51 AM	
25	750	7	5	02/27/24 11:24:57 AM	
26	750	3	5	02/27/24 11:25:02 AM	
27	750	3	5	02/27/24 11:25:07 AM	
28	750	4	5	02/27/24 11:25:12 AM	
29	750	6	5	02/27/24 11:25:17 AM	
30	750	3	5	02/27/24 11:25:22 AM	
31	750	2	5	02/27/24 11:25:28 AM	
32	750	4	5	02/27/24 11:25:33 AM	
33	750	4	5	02/27/24 11:25:38 AM	
34	750	2	5	02/27/24 11:25:43 AM	
35	750	2	5	02/27/24 11:25:48 AM	
36	750	1	5	02/27/24 11:25:53 AM	
37	750	4	5	02/27/24 11:25:58 AM	
38	750	2	5	02/27/24 11:26:04 AM	
39	750	1	5	02/27/24 11:26:09 AM	
40	750	3	5	02/27/24 11:26:14 AM	
41	750	3	5	02/27/24 11:26:19 AM	
42	750	1	5	02/27/24 11:26:24 AM	
43	750	3	5	02/27/24 11:26:29 AM	
44	750	0	5	02/27/24 11:26:35 AM	
45	750	3	5	02/27/24 11:26:40 AM	
46	750	1	5	02/27/24 11:26:45 AM	
47	750	1	5	02/27/24 11:26:50 AM	
48	750	2	5	02/27/24 11:26:55 AM	
49	750	7	5	02/27/24 11:27:00 AM	
50	750	2	5	02/27/24 11:27:05 AM	
51	750	3	5	02/27/24 11:27:11 AM	
52	750	1	5	02/27/24 11:27:16 AM	
53	750	3	5	02/27/24 11:27:21 AM	
54	750	3	5	02/27/24 11:27:26 AM	
55	750	2	5	02/27/24 11:27:31 AM	
56	750	3	5	02/27/24 11:27:36 AM	
57	750	3	5	02/27/24 11:27:42 AM	
58	750	3	5	02/27/24 11:27:47 AM	
59	750	4	5	02/27/24 11:27:52 AM	
60	750	1	5	02/27/24 11:27:57 AM	
61	750	2	5	02/27/24 11:28:02 AM	
62	750	5	5	02/27/24 11:28:07 AM	
63	750	4	5	02/27/24 11:28:12 AM	
64	750	5	5	02/27/24 11:28:18 AM	
65	750	2	5	02/27/24 11:28:23 AM	
66	750	6	5	02/27/24 11:28:28 AM	
67	750	5	5	02/27/24 11:28:33 AM	
68	750	2	5	02/27/24 11:28:38 AM	
69	750	3	5	02/27/24 11:28:44 AM	
70	750	5	5	02/27/24 11:28:49 AM	
71	750	2	5	02/27/24 11:28:54 AM	
72	750	1	5	02/27/24 11:28:59 AM	
73	750	1	5	02/27/24 11:29:04 AM	
74	750	6	5	02/27/24 11:29:10 AM	
75	750	3	5	02/27/24 11:29:15 AM	
76	750	2	5	02/27/24 11:29:20 AM	
77	750	3	5	02/27/24 11:29:25 AM	
78	750	2	5	02/27/24 11:29:30 AM	
79	750	3	5	02/27/24 11:29:35 AM	
80	750	2	5	02/27/24 11:29:41 AM	
81	750	1	5	02/27/24 11:29:46 AM	
82	750	4	5	02/27/24 11:29:51 AM	
83	750	0	5	02/27/24 11:29:56 AM	
84	750	3	5	02/27/24 11:30:01 AM	
85	750	6	5	02/27/24 11:30:06 AM	
86	750	2	5	02/27/24 11:30:11 AM	
87	750	7	5	02/27/24 11:30:17 AM	
88	750	5	5	02/27/24 11:30:22 AM	
89	750	4	5	02/27/24 11:30:27 AM	
90	750	3	5	02/27/24 11:30:32 AM	
91	750	2	5	02/27/24 11:30:37 AM	
92	750	3	5	02/27/24 11:30:42 AM	
93	750	3	5	02/27/24 11:30:48 AM	
94	750	2	5	02/27/24 11:30:53 AM	
95	750	5	5	02/27/24 11:30:58 AM	
96	750	4	5	02/27/24 11:31:03 AM	
97	750	2	5	02/27/24 11:31:08 AM	
98	750	1	5	02/27/24 11:31:13 AM	
99	750	0	5	02/27/24 11:31:18 AM	
100	750	8	5	02/27/24 11:31:24 AM	
101	750	4	5	02/27/24 11:31:29 AM	
102	750	2	5	02/27/24 11:31:34 AM	
103	750	3	5	02/27/24 11:31:39 AM	
104	750	6	5	02/27/24 11:31:44 AM	
105	750	2	5	02/27/24 11:31:49 AM	
106	750	2	5	02/27/24 11:31:54 AM	
107	750	1	5	02/27/24 11:32:00 AM	
108	750	3	5	02/27/24 11:32:05 AM	
109	750	2	5	02/27/24 11:32:10 AM	
110	750	1	5	02/27/24 11:32:15 AM	
111	750	7	5	02/27/24 11:32:20 AM	
112	750	1	5	02/27/24 11:32:25 AM	
113	750	1	5	02/27/24 11:32:31 AM	
114	750	2	5	02/27/24 11:32:36 AM	
115	750	2	5	02/27/24 11:32:41 AM	
116	750	2	5	02/27/24 11:32:46 AM	
117	750	3	5	02/27/24 11:32:51 AM	
118	750	3	5	02/27/24 11:32:57 AM	
119	750	4	5	02/27/24 11:33:02 AM	
120	750	4	5	02/27/24 11:33:07 AM	
121	750	5	5	02/27/24 11:33:12 AM	
