Number	Voltage	Counts	Time	Date/Time
1	750	33	100	03/19/24 11:10:18 AM	
2	750	41	100	03/19/24 11:11:59 AM	
3	750	34	100	03/19/24 11:13:40 AM	
4	750	28	100	03/19/24 11:16:25 AM	
5	750	40	100	03/19/24 11:18:06 AM	
6	750	43	100	03/19/24 11:19:47 AM	
7	750	28	100	03/19/24 11:22:11 AM	
8	750	30	100	03/19/24 11:23:51 AM	
9	750	29	100	03/19/24 11:25:32 AM	
10	750	33	100	03/19/24 11:29:20 AM	
11	750	38	100	03/19/24 11:31:01 AM	
12	750	45	100	03/19/24 11:32:42 AM	
13	750	49	100	03/19/24 11:37:22 AM	
14	750	69	100	03/19/24 11:39:03 AM	
15	750	58	100	03/19/24 11:40:44 AM	
16	750	71	100	03/19/24 11:43:21 AM	
17	750	76	100	03/19/24 11:45:01 AM	
18	750	70	100	03/19/24 11:46:42 AM	
