Description	
Number of Runs	18
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	600
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	600	0	60	02/27/24 10:38:54 AM	
2	620	52	60	02/27/24 10:39:54 AM	
3	640	182	60	02/27/24 10:40:55 AM	
4	660	177	60	02/27/24 10:41:55 AM	
5	680	194	60	02/27/24 10:42:56 AM	
6	700	196	60	02/27/24 10:43:56 AM	
7	720	205	60	02/27/24 10:44:57 AM	
8	740	204	60	02/27/24 10:45:57 AM	
9	760	190	60	02/27/24 10:46:58 AM	
10	780	203	60	02/27/24 10:47:58 AM	
11	800	204	60	02/27/24 10:48:59 AM	
12	820	213	60	02/27/24 10:49:59 AM	
13	840	245	60	02/27/24 10:51:00 AM	
14	860	229	60	02/27/24 10:52:00 AM	
15	880	228	60	02/27/24 10:53:01 AM	
16	900	238	60	02/27/24 10:54:01 AM	
17	920	234	60	02/27/24 10:55:02 AM	
18	940	249	60	02/27/24 10:56:02 AM	
